Date,Open,High,Low,Close,Volume,Name
MMM,2016-08-12,181.4700,179.9000,181.4700,180.2700,1232856
MMM,2016-08-15,181.3900,180.4600,181.0000,180.5600,1268247
MMM,2016-08-16,180.3300,179.2100,180.1200,179.2500,1363554
MMM,2016-08-17,180.0900,178.3200,178.6700,179.8700,1358528
MMM,2016-08-18,179.7000,178.5800,179.7000,179.1800,1088677
MMM,2016-08-19,179.7800,178.0800,178.6600,179.6100,1305289
MMM,2016-08-22,179.5900,178.3700,179.1800,179.0700,1336377
MMM,2016-08-23,180.5400,179.2800,179.6100,179.7700,1195825
MMM,2016-08-24,179.9600,179.0100,179.4100,179.4100,1137075
MMM,2016-08-25,180.3200,179.0500,179.0900,179.5800,840299
MMM,2016-08-26,181.2500,178.9200,180.1900,179.4100,1324652
MMM,2016-08-29,180.7000,179.2800,179.8600,180.5000,1051806
MMM,2016-08-30,181.0200,179.5900,180.7200,180.1500,1039808
MMM,2016-08-31,179.7600,178.5800,179.4900,179.2400,1635998
MMM,2016-09-01,180.1700,178.8000,179.3100,179.9800,1095268
MMM,2016-09-02,181.4900,180.0900,180.5300,180.8100,1316124
MMM,2016-09-06,181.2800,179.8800,180.5600,180.4600,1328116
MMM,2016-09-07,180.5400,179.5400,180.0400,179.7500,1133540
MMM,2016-09-08,180.2100,178.9400,179.1900,180.1000,1423980
MMM,2016-09-09,179.0000,175.6400,178.8900,175.6400,2083300
MMM,2016-09-12,178.4000,174.6900,175.0000,178.1000,1913291
MMM,2016-09-13,177.6000,175.9500,176.8300,176.0700,1864569
MMM,2016-09-14,177.3500,175.2000,175.9600,175.6200,1864794
MMM,2016-09-15,177.0000,175.3600,175.5300,176.5900,1683788
MMM,2016-09-16,175.9500,174.3800,175.8800,175.0600,3358842
MMM,2016-09-19,177.9500,176.0500,176.0500,176.7200,1754929
MMM,2016-09-20,178.5000,177.3300,177.7100,177.6000,1598557
MMM,2016-09-21,179.8000,177.5000,177.8800,179.5900,1759977
MMM,2016-09-22,181.6600,179.6500,179.8300,179.8500,1849004
MMM,2016-09-23,179.7000,177.1900,179.4000,177.3900,1910978
MMM,2016-09-26,176.9100,175.8000,176.8500,175.9500,1820997
MMM,2016-09-27,177.0300,175.5800,175.6100,176.3000,2433570
MMM,2016-09-28,177.9800,176.6900,176.7800,177.5900,1693951
MMM,2016-09-29,177.6300,174.8700,177.4800,175.3700,1853613
MMM,2016-09-30,177.1500,176.0900,176.5800,176.2300,2419430
MMM,2016-10-03,175.9500,174.4000,175.3300,175.0400,1785551
MMM,2016-10-04,174.9700,171.2000,174.5900,171.6800,3166931
MMM,2016-10-05,172.5600,171.3400,171.6600,172.3900,2305546
MMM,2016-10-06,172.3200,170.6000,171.9300,171.6400,2273400
MMM,2016-10-07,171.9400,170.0400,171.9000,171.3300,2249588
MMM,2016-10-10,172.7500,170.9400,171.8400,171.1400,1936639
MMM,2016-10-11,170.4700,168.6900,170.2400,169.6800,1998726
MMM,2016-10-12,170.1800,168.8900,169.6000,169.7200,1554146
MMM,2016-10-13,170.3100,168.4600,168.8700,170.0200,1919715
MMM,2016-10-14,171.3900,170.3000,170.9900,170.3300,1512376
MMM,2016-10-17,171.0900,169.9400,170.5400,170.2100,1229184
MMM,2016-10-18,171.9100,169.8400,171.6800,169.9500,1185565
MMM,2016-10-19,170.9400,169.6600,170.8000,169.9100,1164213
MMM,2016-10-20,170.3400,168.9900,169.5700,169.8600,1210539
MMM,2016-10-21,169.5600,167.7200,168.1100,169.5000,2013555
MMM,2016-10-24,173.4400,170.9000,172.6500,171.2700,2668523
MMM,2016-10-25,169.8900,165.1100,169.4700,166.2300,3826166
MMM,2016-10-26,167.7900,165.4100,165.6900,166.5100,2174852
MMM,2016-10-27,166.9500,165.2800,166.8700,165.7600,1486376
MMM,2016-10-28,167.1800,165.1400,166.5500,165.7700,1934281
MMM,2016-10-31,166.5400,165.1800,166.4600,165.3000,2289132
MMM,2016-11-01,165.8100,163.8500,165.4000,164.2500,2455784
MMM,2016-11-02,166.3700,163.9100,164.7000,165.7300,2233414
MMM,2016-11-03,167.6400,165.2600,166.1400,166.8300,2504984
MMM,2016-11-04,167.8500,166.4200,167.2100,166.4800,1927527
MMM,2016-11-07,169.8900,167.9800,168.1500,169.7400,1930929
MMM,2016-11-08,172.0500,169.7800,169.9000,171.0300,1956187
MMM,2016-11-09,171.0000,165.8400,165.8400,170.3900,3659314
MMM,2016-11-10,174.6700,169.7900,170.1600,174.2800,3280034
MMM,2016-11-11,175.1300,173.7300,174.0500,175.0800,1868162
MMM,2016-11-14,175.5100,171.9000,175.2300,172.9100,2607032
MMM,2016-11-15,174.2500,171.9100,173.1600,174.2400,2177504
MMM,2016-11-16,173.2300,171.5700,173.1300,172.0100,2022623
MMM,2016-11-17,173.2500,172.0100,172.0100,172.7700,1782191
MMM,2016-11-18,173.2800,172.2900,172.5100,172.9600,1711068
MMM,2016-11-21,171.9800,170.7200,171.4200,171.5200,1993936
MMM,2016-11-22,172.0800,171.2800,171.6700,171.9100,1553303
MMM,2016-11-23,172.7500,171.7600,172.0800,172.2500,1477958
MMM,2016-11-25,173.9900,172.2100,172.2100,173.4900,945845
MMM,2016-11-28,173.7700,172.2800,173.5600,172.5000,1677696
MMM,2016-11-29,173.2900,172.1500,172.5400,172.7700,1483189
MMM,2016-11-30,173.1900,171.5900,172.2000,171.7400,2595787
MMM,2016-12-01,172.7400,171.4500,171.6400,172.6300,1756890
MMM,2016-12-02,173.6900,172.2400,172.5300,172.4300,1871524
MMM,2016-12-05,172.9500,171.0800,172.6300,171.6200,2181327
MMM,2016-12-06,172.0300,171.2300,171.8200,171.8000,1467548
MMM,2016-12-07,176.0600,171.9700,172.3800,176.0500,3164316
MMM,2016-12-08,176.3500,174.7700,176.0800,175.8800,1790705
MMM,2016-12-09,178.8700,175.3000,175.3600,178.4900,2650644
MMM,2016-12-12,179.8100,177.5700,178.2500,179.6400,2296090
MMM,2016-12-13,180.0600,176.7700,179.5700,178.8300,2708604
MMM,2016-12-14,179.3900,176.4100,179.1600,176.6000,2234172
MMM,2016-12-15,177.5800,175.0500,177.2600,176.0200,2055610
MMM,2016-12-16,178.5000,176.5500,176.5600,177.4500,3889730
MMM,2016-12-19,178.6700,177.3200,177.6100,178.1600,1381974
MMM,2016-12-20,179.3300,178.0600,178.3400,178.6500,1378216
MMM,2016-12-21,179.5300,178.4200,178.6000,178.4300,1556047
MMM,2016-12-22,179.4600,177.9800,178.8900,179.2000,1225630
MMM,2016-12-23,179.2900,178.5300,179.0900,178.7500,731194
MMM,2016-12-27,179.2000,178.5700,178.6600,178.9200,651007
MMM,2016-12-28,179.4500,178.0200,178.8800,178.0800,1287918
MMM,2016-12-29,179.1400,178.0300,178.2900,178.4100,1101983
MMM,2016-12-30,179.4800,178.2800,179.0000,178.5700,1594248
MMM,2017-01-03,180.0000,177.2200,178.8300,178.0500,2510055
MMM,2017-01-04,178.9000,177.6100,178.0300,178.3200,1541985
MMM,2017-01-05,179.1400,176.8900,178.2600,177.7100,1447848
MMM,2017-01-06,178.6000,175.8000,177.2900,178.2300,1625049
MMM,2017-01-09,178.3800,177.2000,178.3700,177.2700,1622625
MMM,2017-01-10,177.4900,176.3100,177.3600,176.5800,2030149
MMM,2017-01-11,178.4500,176.3900,176.6300,177.8900,1579593
MMM,2017-01-12,177.7000,175.7500,176.9700,177.4400,1321766
MMM,2017-01-13,177.9100,176.8300,177.5800,177.3900,1265593
MMM,2017-01-17,177.6800,176.2500,177.0000,177.2600,1557453
MMM,2017-01-18,179.4400,177.3800,177.9000,178.4900,1804904
MMM,2017-01-19,179.8000,177.7600,179.2500,178.6800,1464364
MMM,2017-01-20,179.4600,177.8300,179.2000,178.4900,1761850
MMM,2017-01-23,178.9900,177.1300,177.9100,178.5100,1986788
MMM,2017-01-24,177.7600,174.4200,177.5000,175.9700,3473183
MMM,2017-01-25,178.6300,176.5700,177.0900,176.7300,3462633
MMM,2017-01-26,177.2300,176.0400,176.3100,176.8200,2235889
MMM,2017-01-27,177.9800,176.8300,177.4800,177.4800,1623666
MMM,2017-01-30,177.7300,174.8700,177.2500,175.4200,1823128
MMM,2017-01-31,175.4600,173.8100,174.7400,174.8200,1845543
MMM,2017-02-01,175.8000,174.3000,175.1700,175.1700,2272854
MMM,2017-02-02,174.7800,173.5500,174.1300,174.1800,3106798
MMM,2017-02-03,175.3000,173.8500,174.0200,175.0400,2820960
MMM,2017-02-06,176.2000,173.9000,174.1200,175.1000,1622756
MMM,2017-02-07,176.4000,175.1500,176.0800,175.7600,1247389
MMM,2017-02-08,177.6000,175.4900,175.6200,177.0700,2145683
MMM,2017-02-09,178.5500,176.8700,176.8700,178.1800,2009742
MMM,2017-02-10,179.5800,178.1900,178.3000,179.0000,1392438
MMM,2017-02-13,181.3800,179.2600,179.8600,181.0200,1929821
MMM,2017-02-14,182.0000,180.6500,180.8600,181.6000,2036188
MMM,2017-02-15,181.8300,180.1500,180.3000,181.7000,1762914
MMM,2017-02-16,183.4600,181.6200,181.7500,183.4100,2164045
MMM,2017-02-17,183.6000,182.5300,183.4300,182.9500,1961456
MMM,2017-02-21,183.6200,182.0400,182.7900,183.3700,1736345
MMM,2017-02-22,186.1200,183.0800,183.4000,186.0400,2850946
MMM,2017-02-23,187.4600,185.7100,185.9100,187.1900,2401641
MMM,2017-02-24,188.4100,186.3000,186.8200,187.4100,2126326
MMM,2017-02-27,187.5500,186.3800,187.5000,186.9100,1393808
MMM,2017-02-28,187.5000,186.3100,186.7300,186.3500,1932120
MMM,2017-03-01,190.5400,188.0100,188.0800,189.8600,2226206
MMM,2017-03-02,190.1000,189.0300,189.4600,189.8900,1763962
MMM,2017-03-03,190.2400,188.5400,189.8500,189.3100,1627706
MMM,2017-03-06,189.2400,188.2700,188.9300,188.9000,1668743
MMM,2017-03-07,189.2600,188.2500,188.2900,189.0900,1662286
MMM,2017-03-08,190.2100,188.9700,189.7200,189.5100,1565272
MMM,2017-03-09,190.3900,189.1700,189.2500,189.9000,1556675
MMM,2017-03-10,191.2400,190.0300,190.6400,191.2100,2514991
MMM,2017-03-13,191.9600,190.4600,191.7700,191.5200,1972733
MMM,2017-03-14,191.4400,189.1100,190.9300,190.3300,1893619
MMM,2017-03-15,191.8600,189.7200,190.1800,191.2000,2046978
MMM,2017-03-16,191.6400,189.6400,191.0600,190.3100,1937139
MMM,2017-03-17,192.3600,190.3500,190.8200,192.3600,4228102
MMM,2017-03-20,193.5000,192.2800,192.5200,193.0100,2085593
MMM,2017-03-21,193.4900,191.5100,193.4900,192.1300,1895059
MMM,2017-03-22,192.8800,190.4600,192.3000,192.2200,1627326
MMM,2017-03-23,192.9700,191.2300,192.1200,192.1400,1481951
MMM,2017-03-24,192.6200,190.9000,192.1200,191.5100,1435374
MMM,2017-03-27,191.0000,189.1600,190.7000,190.4300,1984622
MMM,2017-03-28,191.4900,189.6000,189.9400,190.9900,2330159
MMM,2017-03-29,191.2800,190.2600,190.5900,190.6800,1692204
MMM,2017-03-30,191.4900,190.1000,190.7400,191.2800,1835414
MMM,2017-03-31,192.4000,190.9900,191.3000,191.3300,1730048
MMM,2017-04-03,192.1700,189.9500,191.8700,190.7200,1546695
MMM,2017-04-04,190.9800,189.7800,190.5700,190.1900,1349899
MMM,2017-04-05,192.4200,190.0400,190.7000,190.2400,1448737
MMM,2017-04-06,191.0200,189.5000,190.4100,189.8900,1627375
MMM,2017-04-07,190.5600,189.5200,190.0300,189.9900,1025166
MMM,2017-04-10,190.5200,189.3100,190.1600,189.7100,1682689
MMM,2017-04-11,190.0900,188.9900,189.1300,190.0700,1459582
MMM,2017-04-12,190.4900,189.4000,190.3100,189.7000,1416141
MMM,2017-04-13,189.8600,188.6200,189.2500,188.6500,1274376
MMM,2017-04-17,190.3600,189.2900,189.3100,190.3600,1543558
MMM,2017-04-18,190.8400,189.5100,189.7600,190.2200,1176884
MMM,2017-04-19,191.1300,189.5200,190.8000,189.8300,1340386
MMM,2017-04-20,192.1100,189.9000,190.0200,191.1600,1748179
MMM,2017-04-21,191.6200,190.5900,191.1500,191.5000,2584194
MMM,2017-04-24,194.4500,192.9300,193.0000,194.2300,2709554
MMM,2017-04-25,195.6100,192.3600,193.9900,195.1300,4182229
MMM,2017-04-26,196.9000,194.9900,195.7000,195.0000,2641226
MMM,2017-04-27,196.5400,195.1100,195.4300,196.1100,1770896
MMM,2017-04-28,197.1200,195.5400,196.1500,195.8300,2467076
MMM,2017-05-01,195.7300,194.4700,195.5000,194.8100,1498630
MMM,2017-05-02,196.5300,194.5800,195.1600,196.5300,2467164
MMM,2017-05-03,197.8700,195.7100,196.6000,197.6300,2339647
MMM,2017-05-04,199.5400,197.7600,198.3000,199.5100,2321297
MMM,2017-05-05,199.9000,198.9800,199.6700,199.4000,1688558
